rank,airport,location,country,code,total_passengers,rank_change_direction,rank_change_value,percent_change_direction,percent_change_value
1,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,ATL/KATL,104653451,Steady,,Increase,11.7
2,Dubai International Airport,"Garhoud, Dubai, Dubai",United Arab Emirates,DXB/OMDB,86994365,Increase,3,Increase,31.7
3,Dallas Fort Worth International Airport,"Dallas–Fort Worth, Texas",United States,DFW/KDFW,81755538,Decrease,1,Increase,11.4
4,Heathrow Airport,"Hillingdon, London",United Kingdom,LHR/EGLL,79183364,Increase,4,Increase,28.5
5,Tokyo Haneda Airport,"Ōta, Tokyo",Japan,HND/RJTT,78719302,Increase,11,Increase,55.1
6,Denver International Airport,"Denver, Colorado",United States,DEN/KDEN,77837917,Decrease,3,Increase,12.3
7,Istanbul Airport,"Arnavutköy, Istanbul",Turkey,IST/LTFM,76027321,Steady,,Increase,18.3
8,Los Angeles International Airport,"Los Angeles, California",United States,LAX/KLAX,75050875,Decrease,2,Increase,13.8
9,O'Hare International Airport,"Chicago, Illinois",United States,ORD/KORD,73894226,Decrease,5,Increase,8.1
10,Indira Gandhi International Airport,"Palam, Delhi",India,DEL/VIDP,72214841,Decrease,1,Increase,21.4
11,Charles de Gaulle Airport,"Roissy-en-France, Île-de-France",France,CDG/LFPG,67421316,Decrease,1,Increase,17.3
12,Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,CAN/ZGGG,63169169,Increase,?,Increase,142.0
13,John F. Kennedy International Airport,"Queens, New York, New York",United States,JFK/KJFK,62464331,Decrease,2,Increase,13.0
14,Amsterdam Airport Schiphol,"Haarlemmermeer, North Holland",Netherlands,AMS/EHAM,61889586,Decrease,1,Increase,18.0
15,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD/LEMD,60181604,Steady,,Increase,18.9
16,Frankfurt Airport,"Frankfurt, Hesse",Germany,FRA/EDDF,59355389,Increase,2,Increase,21.3
17,Singapore Changi Airport,"Changi, East Region",Singapore,SIN/WSSS,58946000,Increase,19,Increase,83.1
